geoid,state,county,borough,tract,name,population,commuters,median_income,area_sqkm,pop_density,commuter_ratio,centroid_lat,centroid_lon,bbox_min_lat,bbox_min_lon,bbox_max_lat,bbox_max_lon
360050379002,36,000,Unknown,037900,Block Group 2,0,0,0,0.086208,0.0,0.0,40.851173,-73.898286,40.847438000314554,-73.90096300006692,40.85490800032785,-73.89560899965107
360050379003,36,000,Unknown,037900,Block Group 3,0,0,0,0.02031,0.0,0.0,40.851615,-73.899404,40.85071399967201,-73.90044199966,40.85251700026705,-73.89836500040002
360050379004,36,000,Unknown,037900,Block Group 4,0,0,0,0.020514,0.0,0.0,40.853807,-73.899084,40.8522489998242,-73.90000300016719,40.85536400028595,-73.89816500038349
360050379005,36,000,Unknown,037900,Block Group 5,0,0,0,0.034878,0.0,0.0,40.853543,-73.897856,40.85191299991786,-73.89927199969799,40.855172000257014,-73.89643999967936
36005038000,36,005,Bronx,038000,Census Tract 380; Bronx County; New York,4327,1601,41942,0.0,0.0,0.37,,,,,,
360050380001,36,000,Unknown,038000,Block Group 1,0,0,0,0.045289,0.0,0.0,40.876988,-73.860704,40.87549400027543,-73.86212999994093,40.8784820001561,-73.85927799983081
360050380002,36,000,Unknown,038000,Block Group 2,0,0,0,0.034701,0.0,0.0,40.878773,-73.860115,40.877728000019644,-73.86163000034874,40.879818000297206,-73.85859999996337
360050380003,36,000,Unknown,038000,Block Group 3,0,0,0,0.048943,0.0,0.0,40.879399,-73.863358,40.87825300019402,-73.86523700031917,40.88054499971021,-73.8614799996626
360050380004,36,000,Unknown,038000,Block Group 4,0,0,0,0.084529,0.0,0.0,40.877579,-73.863947,40.87601099972873,-73.86627099983875,40.87914800027117,-73.86162399960264
36005038100,36,005,Bronx,038100,Census Tract 381; Bronx County; New York,7644,2620,36722,0.0,0.0,0.3428,,,,,,
360050381001,36,000,Unknown,038100,Block Group 1,0,0,0,0.012866,0.0,0.0,40.854869,-73.899517,40.85406999983196,-73.90025800043531,40.855668999796556,-73.89877600030377
360050381002,36,000,Unknown,038100,Block Group 2,0,0,0,0.016125,0.0,0.0,40.85517,-73.900459,40.85429399968734,-73.90124699974908,40.85604700030899,-73.89967199973107
360050381003,36,000,Unknown,038100,Block Group 3,0,0,0,0.012607,0.0,0.0,40.85367,-73.900977,40.85286299971223,-73.90169600018594,40.85447700007181,-73.90025800043531
360050381004,36,000,Unknown,038100,Block Group 4,0,0,0,0.033713,0.0,0.0,40.852273,-73.900358,40.850252999846774,-73.90139900008501,40.85429399968734,-73.89931699990383
