geoid,name,county,tract,population,commuters,median_income
36061016001,Census Tract 160.01; New York County; New York,061,016001,2884,1460,250001
36061016002,Census Tract 160.02; New York County; New York,061,016002,3250,1464,104146
36061016100,Census Tract 161; New York County; New York,061,016100,6278,3820,132396
36061016200,Census Tract 162; New York County; New York,061,016200,9015,3134,26520
36061016300,Census Tract 163; New York County; New York,061,016300,6989,4015,125944
36061016400,Census Tract 164; New York County; New York,061,016400,7814,2447,24789
36061016500,Census Tract 165; New York County; New York,061,016500,7257,3519,211888
36061016600,Census Tract 166; New York County; New York,061,016600,5916,2495,44643
36061016700,Census Tract 167; New York County; New York,061,016700,7196,3532,223952
36061016800,Census Tract 168; New York County; New York,061,016800,4585,1385,38281
36061016900,Census Tract 169; New York County; New York,061,016900,8010,4959,163500
36061017000,Census Tract 170; New York County; New York,061,017000,8558,3647,42261
36061017100,Census Tract 171; New York County; New York,061,017100,9200,5355,173490
36061017200,Census Tract 172; New York County; New York,061,017200,5325,2464,31068
36061017300,Census Tract 173; New York County; New York,061,017300,8652,3560,122287
36061017401,Census Tract 174.01; New York County; New York,061,017401,5508,2165,37990
36061017402,Census Tract 174.02; New York County; New York,061,017402,2529,1419,65391
36061017500,Census Tract 175; New York County; New York,061,017500,10125,5247,171250
36061017700,Census Tract 177; New York County; New York,061,017700,10451,4776,103065
36061017800,Census Tract 178; New York County; New York,061,017800,4555,1825,40978
36061017900,Census Tract 179; New York County; New York,061,017900,9953,5914,158109
36061018000,Census Tract 180; New York County; New York,061,018000,6970,2656,26321
36061018100,Census Tract 181; New York County; New York,061,018100,8837,4095,108315
36061018200,Census Tract 182; New York County; New York,061,018200,6839,2684,36696
36061018300,Census Tract 183; New York County; New York,061,018300,8724,4789,146918
36061018400,Census Tract 184; New York County; New York,061,018400,7661,2889,34279
36061018500,Census Tract 185; New York County; New York,061,018500,5055,3105,146976
36061018600,Census Tract 186; New York County; New York,061,018600,6366,2193,45221
36061018700,Census Tract 187; New York County; New York,061,018700,10053,5200,135716
36061018800,Census Tract 188; New York County; New York,061,018800,4358,2620,41288
36061018900,Census Tract 189; New York County; New York,061,018900,11169,4119,37641
36061019000,Census Tract 190; New York County; New York,061,019000,3719,1880,92991
36061019100,Census Tract 191; New York County; New York,061,019100,8533,4942,135934
36061019200,Census Tract 192; New York County; New York,061,019200,4358,1296,16911
36061019300,Census Tract 193; New York County; New York,061,019300,10654,5778,72865
36061019400,Census Tract 194; New York County; New York,061,019400,6524,2784,36458
36061019500,Census Tract 195; New York County; New York,061,019500,7601,4038,113379
36061019600,Census Tract 196; New York County; New York,061,019600,4211,1261,21967
