station_complex_id,name,borough,lat,lon,lines,num_lines,total_ridership,avg_ridership_per_hour,pop_density_tract,median_income,commuters_tract,population_500m,bus_stops_250m,bus_stops_500m
471,34 St-Hudson Yards,Manhattan,40.755882,-74.00191,7,1,88000,60.61,0.0,0,0,0,6,12
120,Bedford Av,Brooklyn,40.717304,-73.95687,L,1,87916,60.93,0.0,0,0,0,2,13
264,Woodhaven Blvd,Queens,40.733105,-73.86923,"M,R",2,87477,58.43,0.0,0,0,0,9,19
404,28 St,Manhattan,40.74307,-73.98426,6,1,83489,57.9,0.0,0,0,0,8,42
254,Jamaica-179 St,Queens,40.712646,-73.78381,F,1,82985,55.73,0.0,0,0,0,11,13
165,23 St,Manhattan,40.745907,-73.99804,"C,E",2,82955,57.25,0.0,0,0,0,5,16
359,Flatbush Av-Brooklyn College,Brooklyn,40.632835,-73.94764,"2,5",2,81970,55.46,0.0,0,0,0,18,34
223,Lexington Av/63 St,Manhattan,40.76463,-73.96611,"F,Q",2,81884,56.28,0.0,0,0,0,5,41
232,2 Av,Manhattan,40.7234,-73.98994,F,1,81817,55.43,0.0,0,0,0,8,29
265,Grand Av-Newtown,Queens,40.737015,-73.87722,"M,R",2,81796,54.97,0.0,0,0,0,11,24
399,68 St-Hunter College,Manhattan,40.768143,-73.96387,6,1,81368,61.22,0.0,0,0,0,11,31
434,3 Av-149 St,Bronx,40.81611,-73.917755,"2,5",2,80665,53.92,0.0,0,0,0,15,33
273,Queens Plaza,Queens,40.748974,-73.93724,"E,M,R",3,80521,56.47,0.0,0,0,0,13,25
16,8 St-NYU,Manhattan,40.730328,-73.99263,"R,W",2,80355,57.4,0.0,0,0,0,11,34
14,23 St,Manhattan,40.741302,-73.98934,"R,W",2,79682,58.89,0.0,0,0,0,9,30
456,61 St-Woodside,Queens,40.74563,-73.902985,7,1,79325,53.74,0.0,0,0,0,9,23
407,Astor Pl,Manhattan,40.730053,-73.99107,6,1,78759,54.54,0.0,0,0,0,13,34
51,Kings Hwy,Brooklyn,40.60867,-73.95773,"B,Q",2,77612,52.83,0.0,0,0,0,9,30
396,96 St,Manhattan,40.78567,-73.95107,6,1,77496,55.04,0.0,0,0,0,8,29
311,86 St,Manhattan,40.788643,-73.97622,1,1,77472,55.34,0.0,0,0,0,10,24
629,Lorimer St,Brooklyn,40.71406,-73.95027,L,1,77397,53.27,0.0,0,0,0,11,27
475,96 St,Manhattan,40.784317,-73.94715,Q,1,75437,51.63,0.0,0,0,0,12,24
179,Nostrand Av,Brooklyn,40.68044,-73.950424,"A,C",2,75157,51.73,0.0,0,0,0,8,33
327,Chambers St,Manhattan,40.715477,-74.00927,"1,2,3",3,73298,52.39,0.0,0,0,0,14,51
277,7 Av,Manhattan,40.762863,-73.981636,"E,B,D",3,72866,50.81,0.0,0,0,0,5,28
